id,winners,losers
NA1_5368597619,"Ekko_Top,MasterYi_Jungle,Smolder_Mid,Seraphine_ADC,Pantheon_Support","Kennen_Top,Khazix_Jungle,Yasuo_Mid,Twitch_ADC,Nami_Support"
NA1_5370850664,"Gragas_Top,LeeSin_Jungle,Zed_Mid,Aphelios_ADC,Senna_Support","Jax_Top,Graves_Jungle,Lissandra_Mid,Kaisa_ADC,Karma_Support"
NA1_5372836124,"DrMundo_Top,Vi_Jungle,Syndra_Mid,Sivir_ADC,Bard_Support","Rumble_Top,Urgot_Jungle,Sylas_Mid,Twitch_ADC,Alistar_Support"
NA1_5378898344,"Vayne_Top,Zed_Jungle,Aurora_Mid,Yasuo_ADC,Senna_Support","Azir_Top,Viego_Jungle,Singed_Mid,Ezreal_ADC,Taric_Support"
NA1_5377701240,"Sion_Top,Khazix_Jungle,Katarina_Mid,Caitlyn_ADC,Maokai_Support","Vayne_Top,Zyra_Jungle,Sylas_Mid,Ezreal_ADC,Karma_Support"
NA1_5359717711,"Aurora_Top,Kayn_Jungle,Zoe_Mid,MissFortune_ADC,Pyke_Support","Pantheon_Top,Zac_Jungle,Camille_Mid,Smolder_ADC,Nami_Support"
NA1_5380062631,"Gwen_Top,Jax_Jungle,Talon_Mid,Smolder_ADC,Zoe_Support","Tryndamere_Top,Viego_Jungle,Sylas_Mid,Vayne_ADC,Janna_Support"
NA1_5379414686,"Olaf_Top,Nidalee_Jungle,Hwei_Mid,Jinx_ADC,Nautilus_Support","Sejuani_Top,Vi_Jungle,Taliyah_Mid,Lucian_ADC,Braum_Support"
NA1_5355810011,"Aatrox_Top,Ambessa_Jungle,Veigar_Mid,Aphelios_ADC,Thresh_Support","Sion_Top,JarvanIV_Jungle,Akali_Mid,Corki_ADC,Braum_Support"
NA1_5371682655,"Garen_Top,Nunu_Jungle,Viktor_Mid,Twitch_ADC,Janna_Support","Kled_Top,MasterYi_Jungle,Ahri_Mid,Senna_ADC,Braum_Support"
NA1_5373596778,"Illaoi_Top,Talon_Jungle,Taliyah_Mid,Sivir_ADC,Shaco_Support","Olaf_Top,Sejuani_Jungle,Morgana_Mid,Samira_ADC,Alistar_Support"
NA1_5371763708,"Ahri_Top,Morgana_Jungle,Nocturne_Mid,Volibear_ADC,Kennen_Support","Nidalee_Top,Aphelios_Jungle,MasterYi_Mid,Singed_ADC,AurelionSol_Support"
NA1_5370066407,"Shen_Top,Hecarim_Jungle,Sylas_Mid,Jinx_ADC,Janna_Support","Karma_Top,Diana_Jungle,Cassiopeia_Mid,Yasuo_ADC,Teemo_Support"
NA1_5379008486,"Jax_Top,Sylas_Jungle,Yone_Mid,Smolder_ADC,Thresh_Support","DrMundo_Top,Viego_Jungle,Viktor_Mid,Jinx_ADC,Lulu_Support"
NA1_5379271313,"Vayne_Top,Zilean_Jungle,Amumu_Mid,Kayle_ADC,Pantheon_Support","Varus_Top,Zed_Jungle,Ornn_Mid,Lux_ADC,Milio_Support"
