id,winners,losers
NA1_5353056992,"Darius,Hecarim,Fizz,Samira,Nautilus","Aatrox,Qiyana,Galio,Smolder,Braum"
NA1_5378360420,"Gnar,Shaco,Akali,Kaisa,Alistar","Urgot,Shyvana,Zed,Lux,Rakan"
NA1_5352972981,"MonkeyKing,Viego,Xerath,Smolder,Nautilus","Riven,Nidalee,AurelionSol,Lucian,Neeko"
NA1_5380227567,"Warwick,Volibear,Malzahar,Ashe,Soraka","Sylas,Diana,Zed,Lucian,Milio"
NA1_5363796018,"Fiora,Sylas,AurelionSol,Ashe,Karma","Yasuo,Kayn,Viktor,Twitch,Leona"
NA1_5347861082,"Vladimir,Ekko,Talon,MissFortune,Bard","Urgot,Kayn,TwistedFate,Yunara,Lulu"
NA1_5374000940,"Swain,DrMundo,Velkoz,Caitlyn,Lux","Illaoi,Diana,Yasuo,Yunara,Pyke"
NA1_5362640364,"RekSai,Nunu,Anivia,Sivir,Leona","Riven,Zyra,Yasuo,Mel,Maokai"
NA1_5380300090,"Gragas,XinZhao,Galio,Zeri,Braum","Zoe,MasterYi,Varus,Kaisa,Leona"
NA1_5379223279,"DrMundo,Khazix,Sylas,Ziggs,Nautilus","Aatrox,Evelynn,Yasuo,Varus,Sona"
NA1_5353164969,"Ornn,Nasus,Kassadin,Aphelios,Morgana","Rumble,Ivern,Yone,Jhin,Brand"
NA1_5372912960,"Chogath,Ezreal,Qiyana,Mel,Rakan","Rumble,Bard,Nami,Veigar,Kayle"
NA1_5373648394,"Poppy,Kayn,Malzahar,Caitlyn,Bard","Sion,LeeSin,Mel,Sivir,Seraphine"
NA1_5377935214,"Taliyah,KSante,Mel,LeeSin,Morgana","Seraphine,Tristana,Pantheon,Kalista,Twitch"
NA1_5376376289,"Sion,Graves,Diana,Smolder,Nami","Gnar,Talon,Aurora,Kalista,Lulu"
NA1_5363062690,"Mordekaiser,Graves,Morgana,Xayah,Rakan","Tryndamere,Amumu,Diana,Kaisa,Zilean"
NA1_5355950493,"Aatrox,Gragas,Garen,Kalista,Karma","Yasuo,Nunu,Sylas,Corki,Nautilus"
NA1_5372087994,"Sett,RekSai,Akali,Lucian,Lux","Ornn,Vi,Swain,Gwen,Taric"
NA1_5356928521,"Singed,XinZhao,Syndra,Kindred,Sona","Sion,Khazix,Akali,Yunara,Lulu"
NA1_5379252510,"Yone,Naafiri,Sett,Kaisa,Blitzcrank","Aatrox,Shaco,Sylas,Ziggs,Yuumi"
NA1_5365256052,"Sion,Ekko,Qiyana,Lucian,Nami","Aurora,Hecarim,Jayce,Yunara,Bard"
NA1_5362354149,"Fiora,Khazix,Veigar,Aphelios,Seraphine","Aatrox,LeeSin,Diana,Kaisa,Pyke"
NA1_5378037791,"KSante,Pantheon,Swain,Lucian,Braum","Gwen,Viego,Yone,Draven,Leona"
NA1_5378855093,"Gnar,Briar,Qiyana,Rammus,Alistar,Camille,Veigar,Briar","Kalista,Galio,Swain,Aatrox,RekSai,AurelionSol,Yorick,Trundle"
NA1_5379339218,"Shaco,Kaisa,Zyra,Ashe,Thresh","Gragas,Morgana,Velkoz,Tristana,TwistedFate"
